Date,Open,High,Low,Close,Volume
2008-01-01 19:00:00,1.4621,1.4622,1.4597,1.4603,0
2008-01-01 20:00:00,1.4602,1.4608,1.4598,1.4605,0
2008-01-01 21:00:00,1.4604,1.4622,1.4604,1.4622,0
2008-01-01 22:00:00,1.4623,1.4626,1.4614,1.4625,0
2008-01-01 23:00:00,1.4626,1.4637,1.4624,1.4637,0
2008-01-02 00:00:00,1.4637,1.4663,1.4635,1.466,0
2008-01-02 01:00:00,1.4661,1.4667,1.4647,1.4666,0
2008-01-02 02:00:00,1.4665,1.467,1.4649,1.4655,0
2008-01-02 03:00:00,1.4654,1.4673,1.4644,1.4664,0
2008-01-02 04:00:00,1.4663,1.4669,1.4653,1.4655,0
2008-01-02 05:00:00,1.4656,1.468,1.4652,1.468,0
2008-01-02 06:00:00,1.4681,1.4692,1.4678,1.4688,0
2008-01-02 07:00:00,1.4689,1.4701,1.4686,1.4691,0
2008-01-02 08:00:00,1.4692,1.47,1.4665,1.4665,0
2008-01-02 09:00:00,1.4666,1.4676,1.4646,1.4657,0
2008-01-02 10:00:00,1.4659,1.473,1.4657,1.4728,0
2008-01-02 11:00:00,1.4729,1.4752,1.4726,1.4737,0
2008-01-02 12:00:00,1.4736,1.4747,1.4719,1.4733,0
2008-01-02 13:00:00,1.4732,1.4739,1.4728,1.4733,0
2008-01-02 14:00:00,1.4734,1.474,1.4717,1.4726,0
2008-01-02 15:00:00,1.4725,1.473,1.4721,1.4729,0
2008-01-02 16:00:00,1.473,1.4731,1.471,1.4714,0
2008-01-02 17:00:00,1.4715,1.4724,1.4713,1.4723,0
2008-01-02 18:00:00,1.4724,1.4727,1.4713,1.4717,0
2008-01-02 19:00:00,1.4718,1.4727,1.4716,1.4718,0
2008-01-02 20:00:00,1.4719,1.4722,1.4697,1.4717,0
2008-01-02 21:00:00,1.4718,1.4719,1.4706,1.471,0
2008-01-02 22:00:00,1.4709,1.4713,1.4705,1.4711,0
2008-01-02 23:00:00,1.471,1.4719,1.4706,1.4712,0
2008-01-03 00:00:00,1.4713,1.4715,1.4707,1.4709,0
2008-01-03 01:00:00,1.471,1.473,1.4708,1.473,0
2008-01-03 02:00:00,1.4729,1.4732,1.472,1.4724,0
2008-01-03 03:00:00,1.4725,1.4733,1.4689,1.4699,0
2008-01-03 04:00:00,1.4698,1.4721,1.4698,1.4706,0
2008-01-03 05:00:00,1.4704,1.4765,1.4701,1.4763,0
2008-01-03 06:00:00,1.4762,1.4769,1.4752,1.4766,0
2008-01-03 07:00:00,1.4767,1.4784,1.4751,1.4755,0
2008-01-03 08:00:00,1.4756,1.477,1.4701,1.4713,0
2008-01-03 09:00:00,1.4714,1.4741,1.4712,1.4732,0
2008-01-03 10:00:00,1.4731,1.4734,1.4712,1.4725,0
2008-01-03 11:00:00,1.4724,1.4743,1.4722,1.4735,0
2008-01-03 12:00:00,1.4736,1.4743,1.4731,1.4742,0
2008-01-03 13:00:00,1.4743,1.4763,1.474,1.476,0
2008-01-03 14:00:00,1.4759,1.476,1.4741,1.4746,0
2008-01-03 15:00:00,1.4745,1.4753,1.4744,1.4751,0
2008-01-03 16:00:00,1.4752,1.4753,1.4745,1.4751,0
2008-01-03 17:00:00,1.4752,1.4753,1.4742,1.4744,0
2008-01-03 18:00:00,1.4745,1.4745,1.4739,1.4745,0
2008-01-03 19:00:00,1.4744,1.4751,1.4741,1.4742,0
2008-01-03 20:00:00,1.4743,1.4752,1.4738,1.475,0
2008-01-03 21:00:00,1.4751,1.4752,1.4745,1.4747,0
2008-01-03 22:00:00,1.4746,1.475,1.4739,1.4741,0
2008-01-03 23:00:00,1.474,1.4745,1.4737,1.4744,0
2008-01-04 00:00:00,1.4745,1.4747,1.4734,1.4738,0
2008-01-04 01:00:00,1.4737,1.4738,1.4722,1.4725,0
2008-01-04 02:00:00,1.4724,1.4729,1.4705,1.4707,0
2008-01-04 03:00:00,1.4706,1.4716,1.4696,1.4714,0
2008-01-04 04:00:00,1.4715,1.4723,1.4708,1.471,0
2008-01-04 05:00:00,1.4709,1.4719,1.47,1.4709,0
2008-01-04 06:00:00,1.4708,1.472,1.4705,1.4719,0
2008-01-04 07:00:00,1.472,1.472,1.4701,1.4714,0
2008-01-04 08:00:00,1.4715,1.4827,1.4715,1.4803,0
2008-01-04 09:00:00,1.4804,1.4827,1.4781,1.4785,0
2008-01-04 10:00:00,1.4786,1.4786,1.4744,1.4777,0
2008-01-04 11:00:00,1.4776,1.4794,1.4774,1.4788,0
2008-01-04 12:00:00,1.4787,1.4787,1.4758,1.4769,0
2008-01-04 13:00:00,1.4768,1.4775,1.4764,1.4773,0
2008-01-04 14:00:00,1.4774,1.4779,1.4766,1.4776,0
2008-01-04 15:00:00,1.4775,1.4776,1.4755,1.4755,0
2008-01-04 16:00:00,1.4754,1.4756,1.4744,1.4745,0
2008-01-06 17:00:00,1.4749,1.4758,1.4748,1.4749,0
2008-01-06 18:00:00,1.475,1.4754,1.4747,1.4751,0
2008-01-06 19:00:00,1.475,1.4752,1.4744,1.4745,0
2008-01-06 20:00:00,1.4744,1.4746,1.4734,1.4737,0
2008-01-06 21:00:00,1.4736,1.4737,1.4698,1.4711,0
2008-01-06 22:00:00,1.471,1.4725,1.4702,1.472,0
2008-01-06 23:00:00,1.4719,1.4729,1.4719,1.4722,0
2008-01-07 00:00:00,1.4723,1.4734,1.4723,1.4733,0
2008-01-07 01:00:00,1.4732,1.4733,1.4711,1.472,0
2008-01-07 02:00:00,1.4719,1.4721,1.4666,1.4669,0
2008-01-07 03:00:00,1.4668,1.4693,1.4661,1.4693,0
2008-01-07 04:00:00,1.4692,1.4699,1.4688,1.4694,0
2008-01-07 05:00:00,1.4695,1.4696,1.4669,1.4681,0
2008-01-07 06:00:00,1.468,1.4699,1.468,1.4694,0
2008-01-07 07:00:00,1.4695,1.472,1.4685,1.4707,0
2008-01-07 08:00:00,1.4708,1.4737,1.4707,1.4728,0
2008-01-07 09:00:00,1.4727,1.4732,1.4715,1.4721,0
2008-01-07 10:00:00,1.472,1.4731,1.4717,1.4718,0
2008-01-07 11:00:00,1.4717,1.4723,1.4669,1.4686,0
2008-01-07 12:00:00,1.4687,1.4693,1.4683,1.4691,0
2008-01-07 13:00:00,1.4693,1.47,1.4687,1.4694,0
2008-01-07 14:00:00,1.4695,1.4698,1.469,1.4697,0
2008-01-07 15:00:00,1.4698,1.4704,1.4695,1.47,0
2008-01-07 16:00:00,1.4701,1.4701,1.4689,1.4698,0
2008-01-07 17:00:00,1.4697,1.4699,1.4689,1.469,0
2008-01-07 18:00:00,1.4691,1.4693,1.4684,1.4685,0
2008-01-07 19:00:00,1.4686,1.4694,1.4685,1.4689,0
2008-01-07 20:00:00,1.469,1.4692,1.4682,1.4686,0
2008-01-07 21:00:00,1.4687,1.4701,1.4686,1.4699,0
2008-01-07 22:00:00,1.47,1.4719,1.4694,1.471,0
2008-01-07 23:00:00,1.4711,1.472,1.4693,1.4698,0
2008-01-08 00:00:00,1.4697,1.4717,1.4697,1.4703,0
2008-01-08 01:00:00,1.4704,1.472,1.4695,1.4717,0
2008-01-08 02:00:00,1.4718,1.4739,1.4715,1.4724,0
2008-01-08 03:00:00,1.4723,1.4726,1.4695,1.4715,0
2008-01-08 04:00:00,1.4716,1.4725,1.4707,1.4723,0
2008-01-08 05:00:00,1.4722,1.4723,1.4699,1.4705,0
2008-01-08 06:00:00,1.4706,1.4717,1.47,1.4716,0
2008-01-08 07:00:00,1.4715,1.4737,1.4714,1.4719,0
2008-01-08 08:00:00,1.4718,1.4722,1.4708,1.4715,0
2008-01-08 09:00:00,1.4714,1.4736,1.4712,1.4732,0
2008-01-08 10:00:00,1.4736,1.4742,1.4704,1.4716,0
2008-01-08 11:00:00,1.4717,1.4725,1.4717,1.4719,0
2008-01-08 12:00:00,1.4718,1.4724,1.4715,1.4717,0
2008-01-08 13:00:00,1.4716,1.4722,1.4713,1.4713,0
2008-01-08 14:00:00,1.4714,1.4717,1.4705,1.4711,0
2008-01-08 15:00:00,1.4712,1.4717,1.4709,1.4711,0
2008-01-08 16:00:00,1.4712,1.4714,1.4706,1.4709,0
2008-01-08 17:00:00,1.471,1.4716,1.4709,1.4712,0
2008-01-08 18:00:00,1.4711,1.4714,1.4708,1.471,0
2008-01-08 19:00:00,1.4709,1.4721,1.4708,1.4718,0
2008-01-08 20:00:00,1.4719,1.4723,1.4716,1.4719,0
2008-01-08 21:00:00,1.472,1.4723,1.4712,1.4722,0
2008-01-08 22:00:00,1.4721,1.4722,1.4715,1.472,0
2008-01-08 23:00:00,1.4719,1.4725,1.4718,1.4721,0
2008-01-09 00:00:00,1.472,1.4728,1.4719,1.4726,0
2008-01-09 01:00:00,1.4727,1.4735,1.4719,1.473,0
2008-01-09 02:00:00,1.4731,1.4743,1.4717,1.4732,0
2008-01-09 03:00:00,1.4731,1.4731,1.4705,1.4717,0
2008-01-09 04:00:00,1.4718,1.472,1.4711,1.4715,0
2008-01-09 05:00:00,1.4716,1.4717,1.4709,1.4712,0
2008-01-09 06:00:00,1.4713,1.4713,1.4705,1.4707,0
2008-01-09 07:00:00,1.4708,1.471,1.4682,1.4694,0
2008-01-09 08:00:00,1.4693,1.4698,1.4662,1.469,0
2008-01-09 09:00:00,1.4689,1.4689,1.4663,1.4684,0
2008-01-09 10:00:00,1.4683,1.4693,1.4647,1.4672,0
2008-01-09 11:00:00,1.4671,1.4685,1.4664,1.4664,0
